Unnamed: 0,Name,Album,Artist,Language,Media_URL
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,English,https://aac.saavncdn.com/014/598128b97f40efd96f272eeda0e5a2b7_320.mp4
1,Mo Bamba,MUDBOY,Sheck Wes,,https://aac.saavncdn.com/024/b752d398501cb7c4507fcc1c050f534a_320.mp4
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,,https://aac.saavncdn.com/012/f5b28379824be192ddde090a6c046c55_320.mp4
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,,https://aac.saavncdn.com/640/d7d8a3cec4131bccdb1c4af792504476_320.mp4
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,,https://aac.saavncdn.com/937/758abd9be8e8f1bcb94675dbc9f751d9_320.mp4
5,Rasputin,Rasputin,Majestic,,https://aac.saavncdn.com/350/c25d5b3535c11f31fcf06bcf6a4ece06_320.mp4
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,,https://aac.saavncdn.com/102/d70e1694c2482552c8842676c0aebf11_320.mp4
7,Whoopty,Whoopty,CJ,,https://aac.saavncdn.com/814/043be34e765d0bfd212fcb844ba8a8cd_320.mp4
8,Streets,Hot Pink,Doja Cat,,https://aac.saavncdn.com/824/09c85b6e485395e1b93783aa2e92f00b_320.mp4
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,,https://aac.saavncdn.com/270/666f50bbe57f810385d1919bd6b7bc1a_320.mp4
10,Paparazzi,Paparazzi,Kim Dracula,,https://aac.saavncdn.com/974/95345ebce98080bad1c79299f6babcc6_320.mp4
11,hot girl bummer,hot girl bummer,blackbear,,https://aac.saavncdn.com/061/8d187e9d2ab642c420c9d3ca22c125ac_320.mp4
12,Runnin Low,Runnin Low,Kieran Alleyne,,https://aac.saavncdn.com/240/a76a7808807344e37a5ebd5dc3eb081d_320.mp4
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,,https://aac.saavncdn.com/279/cfc809c62bf22661c23912b04ef99f06_320.mp4
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,,https://aac.saavncdn.com/834/391b76ab259e556928fffd9af0adfedb_320.mp4
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,,https://aac.saavncdn.com/388/47a7a76bfd81543d2f88d09a5ab0a70b_320.mp4
16,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,,https://aac.saavncdn.com/936/8158699182d52a1c0e5206063c844acc_320.mp4
17,Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,,https://aac.saavncdn.com/819/7c8fbbcab521395cee600a964c8f80aa_320.mp4
18,Superlife,Superlife,Lox Chatterbox,,https://aac.saavncdn.com/966/836a2777ad6c59d0d8a4ea5e25789edf_320.mp4
19,Invincible,Meet The Woo 2,Pop Smoke,,
20,How She Walk,How She Walk,TheGrimLynn,,https://aac.saavncdn.com/999/64a929a6fea9602cdf05e85f3fa3605b_320.mp4
21,Arabian Night,Arabian Night,Żwirek,,https://aac.saavncdn.com/515/85ae9e0cad54f8f67d12547d60e9d684_320.mp4
22,Monster,Monster,Besomorph,,https://aac.saavncdn.com/362/3081f777bbbc44273d8348cb75979f62_320.mp4
23,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,,https://aac.saavncdn.com/142/34f6d863d63248633781e64e88d9b9b8_320.mp4
24,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,,https://aac.saavncdn.com/203/3e073baf8868d765829efcb213315b2f_320.mp4
25,Blood // Water,Blood // Water,grandson,,https://aac.saavncdn.com/725/b2d1dee60b5eb2df3f5b556fd1202c78_320.mp4
26,Fed Up,ANTI-ICON,Ghostemane,,https://aac.saavncdn.com/181/97fd4a1f2bb2e78c66277928f926e157_320.mp4
27,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,,https://aac.saavncdn.com/164/474e7483ac1519289faa26ac61432351_320.mp4
28,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,,https://aac.saavncdn.com/897/4153fea466091e18c8f6407e345d38a6_320.mp4
29,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,,
