Unnamed: 0,Name,Album,Artist,Language,Media_URL,Media_Image
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,English,https://aac.saavncdn.com/014/598128b97f40efd96f272eeda0e5a2b7_320.mp4,https://c.saavncdn.com/014/Sick-Thoughts-English-2019-20190729173742-500x500.jpg
1,Mo Bamba,MUDBOY,Sheck Wes,English,https://aac.saavncdn.com/024/b752d398501cb7c4507fcc1c050f534a_320.mp4,https://c.saavncdn.com/024/MUDBOY-English-2018-20181006021958-500x500.jpg
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,English,https://aac.saavncdn.com/012/f5b28379824be192ddde090a6c046c55_320.mp4,https://c.saavncdn.com/012/MONTERO-Call-Me-By-Your-Name--English-2021-20210322233947-500x500.jpg
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,English,https://aac.saavncdn.com/640/d7d8a3cec4131bccdb1c4af792504476_320.mp4,https://c.saavncdn.com/640/STOKELEY-English-2018-20181129042429-500x500.jpg
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,English,https://aac.saavncdn.com/937/758abd9be8e8f1bcb94675dbc9f751d9_320.mp4,https://c.saavncdn.com/937/Shhh-Pew-Pew-Slowed-Reverb--English-2021-20210302182153-500x500.jpg
5,Rasputin,Rasputin,Majestic,English,https://aac.saavncdn.com/783/951edaa35d57ecb60d0128ffbc08a24c_320.mp4,https://c.saavncdn.com/783/Daddy-Cool-1994-500x500.jpg
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,English,https://aac.saavncdn.com/102/d70e1694c2482552c8842676c0aebf11_320.mp4,https://c.saavncdn.com/102/Astronaut-In-The-Ocean-English-2021-20210825045729-500x500.jpg
7,Whoopty,Whoopty,CJ,English,https://aac.saavncdn.com/814/043be34e765d0bfd212fcb844ba8a8cd_320.mp4,https://c.saavncdn.com/814/Whoopty-English-2020-20210213073708-500x500.jpg
8,Streets,Hot Pink,Doja Cat,English,https://aac.saavncdn.com/824/09c85b6e485395e1b93783aa2e92f00b_320.mp4,https://c.saavncdn.com/824/Hot-Pink-English-2019-20230921102340-500x500.jpg
1,Parayuvaan,Parayuvaan,Composer: Jakes Bejoy,Malayalam,https://aac.saavncdn.com/480/cfa11cd6d240b6ccf739b2a76c7b0518_320.mp4,https://c.saavncdn.com/480/Ishq-Malayalam-2019-20220506185513-500x500.jpg
2,Harivarasanam,Swamy Ayyappan,Artist: K.J. Yesudas,Malayalam,https://aac.saavncdn.com/918/79e366fc43b9021fca9489711c987397_320.mp4,https://c.saavncdn.com/918/Abhishekam-Telugu-2014-20210105161135-500x500.jpg
3,Vathilil Aa Vathilil,Ustad Hotel,Gopi Sunder,Malayalam,https://aac.saavncdn.com/354/7629c396d2df1f78e85f8dc10f112376_320.mp4,https://c.saavncdn.com/354/Aardra-Geethangal-Malayalam-1988-20211028213607-500x500.jpg
4,Poomuthole,Joseph,Ranjin Raj,Malayalam,https://aac.saavncdn.com/674/aa5624748744e5990cf46620448d7098_320.mp4,https://c.saavncdn.com/674/Joseph-Malayalam-2018-20181119173620-500x500.jpg
5,Ennilerinju,Ennu Ninte Moideen,M. Jayachandran,Malayalam,https://aac.saavncdn.com/511/f15e97845c2e2a20d8f34aa0e003bad2_320.mp4,https://c.saavncdn.com/511/Jacobinte-Swargarajyam-Malayalam-2016-500x500.jpg
