Unnamed: 0,Name,Album,Artist,Language,Media_URL,Media_Image
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,English,https://aac.saavncdn.com/142/7f23e22c8d320a9ab33854092fefee8e_320.mp4,https://c.saavncdn.com/142/Get-You-The-Moon-English-2018-20231003051405-500x500.jpg
1,Jocelyn Flores,17,XXXTENTACION,English,https://aac.saavncdn.com/767/c3108db1fb4c61bbc2b949c3c3fb7579_320.mp4,https://c.saavncdn.com/767/17-English-2017-20170823130421-500x500.jpg
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,English,https://aac.saavncdn.com/642/a637158b7206c0f696f00cc67187cd7d_320.mp4,https://c.saavncdn.com/642/BREACH-English-2018-20181107133058-500x500.jpg
3,how to live,how to live,yaeow,English,https://aac.saavncdn.com/564/d91b6551c294ae628353172a4743a00e_320.mp4,https://c.saavncdn.com/564/How-to-Live-Happily-English-2018-20180725200631-500x500.jpg
4,It's You,YOU,Ali Gatie,English,https://aac.saavncdn.com/627/39217d81927655cf9453caf483f60870_320.mp4,https://c.saavncdn.com/627/It-s-You-English-2019-20190611061242-500x500.jpg
5,Loosing Interest,Passion & Confusion,Timmies,English,https://aac.saavncdn.com/666/0b632afff21e2bcaa289f0f13c7f864c_320.mp4,https://c.saavncdn.com/666/Passion-Confusion-feat-Shiloh-Dynasty--English-2017-20210422030120-500x500.jpg
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,English,https://aac.saavncdn.com/447/826bac76dd69d2febf1dd24e47bded83_320.mp4,https://c.saavncdn.com/447/Oh-No--English-2017-20171009163227-500x500.jpg
7,Dead and Cold,Dead and Cold,ELIJAH MOON,English,https://aac.saavncdn.com/022/20e44cc3c9c73e3e0cf84d9389481839_320.mp4,https://c.saavncdn.com/022/Gangster-Baraati-Punjabi-2019-20191217091205-500x500.jpg
8,Heather,Kid Krow,Conan Gray,English,https://aac.saavncdn.com/408/e00f3c5e342bd64a723a1562c2eaafc0_320.mp4,https://c.saavncdn.com/408/Kid-Krow-English-2020-20200320000834-500x500.jpg
9,Reckless,Reckless,Madison Beer,English,https://aac.saavncdn.com/617/714e94a81b4b711f273b62263b412f55_320.mp4,https://c.saavncdn.com/617/Reckless-English-2021-20210527143518-500x500.jpg
10,paradise,paradise,cliffe,English,https://aac.saavncdn.com/294/72b5159f048b2cd113c983a8a07db363_320.mp4,https://c.saavncdn.com/294/Paradise-Punjabi-2023-20230919074944-500x500.jpg
1,Entammede Jimikki Kammal,Velipadinte Pusthakam,Shaan Rahman,Malayalam,https://aac.saavncdn.com/205/32563da14f4f9ba50ee21aba66fea9c0_320.mp4,https://c.saavncdn.com/205/Velipadinte-Pusthakam-Malayalam-2019-20190707220924-500x500.jpg
2,Jimikki Kammal,Velipadinte Pusthakam,Renjith Unni,Malayalam,https://aac.saavncdn.com/205/32563da14f4f9ba50ee21aba66fea9c0_320.mp4,https://c.saavncdn.com/205/Velipadinte-Pusthakam-Malayalam-2019-20190707220924-500x500.jpg
3,Kaathirunnu,Ennu Ninte Moideen,Gopi Sundar,Malayalam,https://aac.saavncdn.com/973/b883c50447c7f5451bfc4b42a8fefa59_320.mp4,https://c.saavncdn.com/973/Ennu-Ninte-Moideen-Malayalam-2019-20190707221054-500x500.jpg
4,Manikya Malaraya Poovi,Oru Adaar Love,Shaan Rahman,Malayalam,https://aac.saavncdn.com/605/e9e988b246d55b68dac64723a0983cb4_320.mp4,https://c.saavncdn.com/605/Oru-Adaar-Love-Malayalam-2019-20190226193703-500x500.jpg
5,Lalee Lalee,Kilichundan Mampazham,Vidyasagar,Malayalam,https://aac.saavncdn.com/775/ac4797acda8011a4e9ba82daa4381e0a_320.mp4,https://c.saavncdn.com/775/Kalimannu-2013-500x500.jpg
