Unnamed: 0,Name,Album,Artist,Language,Media_URL,Media_Image
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,English,https://aac.saavncdn.com/152/e532b81be5e2729fb70e4fc4045e38d3_320.mp4,https://c.saavncdn.com/152/NCS-The-Best-of-2017-English-2017-20171129054113-500x500.jpg
1,Fearless,Fearless,Lost Sky,English,https://aac.saavncdn.com/193/883834d78b04ae5f672c0946bcf61281_320.mp4,https://c.saavncdn.com/193/Fearless-English-2017-20170907124131-500x500.jpg
2,Ark,Ark,Star Party,English,https://aac.saavncdn.com/772/14aa1f0bb2625796e12fa16eb5e1eec5_320.mp4,https://c.saavncdn.com/772/Ark-English-2016-500x500.jpg
3,Supersonic,Supersonic,Rob Gasser,English,https://aac.saavncdn.com/561/1c9648d6fadab1d15421609b48ffdf86_320.mp4,https://c.saavncdn.com/561/Supersonic-My-Existence-English-2021-20230215045805-500x500.jpg
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,English,https://aac.saavncdn.com/152/e532b81be5e2729fb70e4fc4045e38d3_320.mp4,https://c.saavncdn.com/152/NCS-The-Best-of-2017-English-2017-20171129054113-500x500.jpg
5,Mortals,Mortals,Warriyo,English,https://aac.saavncdn.com/339/63f2a0e7d29a6f1bb346d457bcaddd07_320.mp4,https://c.saavncdn.com/339/Mortals-English-2016-500x500.jpg
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,English,https://aac.saavncdn.com/881/b590b88c350e3e469f83c1e401349779_320.mp4,https://c.saavncdn.com/881/Horizon-English-2021-20211102122807-500x500.jpg
7,Fearless,Fearless,Lost Sky,English,https://aac.saavncdn.com/193/883834d78b04ae5f672c0946bcf61281_320.mp4,https://c.saavncdn.com/193/Fearless-English-2017-20170907124131-500x500.jpg
8,Ark,Ark,Star Party,English,https://aac.saavncdn.com/772/14aa1f0bb2625796e12fa16eb5e1eec5_320.mp4,https://c.saavncdn.com/772/Ark-English-2016-500x500.jpg
10,Mortals,Mortals,Warriyo,English,https://aac.saavncdn.com/339/63f2a0e7d29a6f1bb346d457bcaddd07_320.mp4,https://c.saavncdn.com/339/Mortals-English-2016-500x500.jpg
3,Pathira Pullunarnnu,Odiyan,M. G. Sreekumar,Malayalam,https://aac.saavncdn.com/186/547718e726a29cad20e9d0324267190f_320.mp4,https://c.saavncdn.com/186/Ee-Puzhayum-Kadannu-Malayalam-2019-20190719182407-500x500.jpg
4,Devasabhathalam,Ennu Ninte Moideen,Gopi Sundar,Malayalam,https://aac.saavncdn.com/542/1add5081befdad4a873a1eac7b307309_320.mp4,https://c.saavncdn.com/542/His-Highness-Abdulla-Malayalam-1990-20210521152834-500x500.jpg
5,Annarakanna Vaa,Marubhoomiyile Aana,Vijay Yesudas,Malayalam,https://aac.saavncdn.com/685/bd824eaf83e9104cf27cc8da190bfe81_320.mp4,https://c.saavncdn.com/685/Bhramaram-Malayalam-2009-500x500.jpg
