,Name,Album,Artist,Language,Media_URL,Media_Image
8,Olanjali Kuruvi,1983,P. Jayachandran,Malayalam,https://aac.saavncdn.com/138/aaa53327a48d189493b0e21d4c5f13f9_320.mp4,https://c.saavncdn.com/138/Ninty-Eghti-Three-Malayalam-2013-500x500.jpg
9,Mazhavil Kavil,Manathe Vellitheru,M.G. Sreekumar,Malayalam,https://aac.saavncdn.com/682/9a6887a804cda751820cab0ae91d4622_320.mp4,https://c.saavncdn.com/682/Kinar-Malayalam-2018-20180208-500x500.jpg
10,Puthumazhayai,Charlie,Shreya Ghoshal,Malayalam,https://aac.saavncdn.com/276/4274c61305abc767ca1767e60b2f4455_320.mp4,https://c.saavncdn.com/276/Charlie-Malayalam-2015-500x500.jpg
0,Leave The Door Open,Leave The Door Open,Bruno Mars,English,https://aac.saavncdn.com/585/dfeae83665f6b611759056eada62f8c8_320.mp4,https://c.saavncdn.com/585/An-Evening-With-Silk-Sonic-English-2021-20220303200515-500x500.jpg
1,Dynamite,Dynamite (DayTime Version),BTS,English,https://aac.saavncdn.com/223/188deb941ab08068f2fd7e319cd1d2d0_320.mp4,https://c.saavncdn.com/223/Dynamite-English-2021-20211124055845-500x500.jpg
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,English,https://aac.saavncdn.com/651/1961c02c707b866858ce1db3ce304d5c_320.mp4,https://c.saavncdn.com/651/Levitating-feat-DaBaby-English-2020-20231110075141-500x500.jpg
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,English,https://aac.saavncdn.com/852/d6f1f5c6ec4a16c1f77172cec08ce3ef_320.mp4,https://c.saavncdn.com/852/Planet-Her-English-2021-20230921232131-500x500.jpg
4,Perfect,÷ (Deluxe),Ed Sheeran,English,https://aac.saavncdn.com/286/71bb6cc3391ddf619a4a3f1a1134f1c4_320.mp4,https://c.saavncdn.com/286/WMG_190295851286-English-2017-500x500.jpg
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,English,https://aac.saavncdn.com/135/785cf62b91cb020a7b96e2f15d2d0d5c_320.mp4,https://c.saavncdn.com/135/TRANSLATION-English-2020-20200630001723-500x500.jpg
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,English,https://aac.saavncdn.com/781/e547634ae293961727d60cb70499ab8f_320.mp4,https://c.saavncdn.com/781/We-Need-Love-Cabu-Remix--English-2021-20210710094836-500x500.jpg
7,Dance Monkey,Dance Monkey,Tones And I,English,https://aac.saavncdn.com/872/6771611708f92f65d650d73e7136b89d_320.mp4,https://c.saavncdn.com/872/Dance-Monkey-English-2019-20190809200234-500x500.jpg
