Unnamed: 0,Name,Album,Artist,Language,Media_URL,Media_Image
1,Karutha Penne,Vellinakshatram,Illayaraja,Malayalam,https://aac.saavncdn.com/971/1fe9209279605aaf2fcd7acdce213405_320.mp4,https://c.saavncdn.com/971/Thenmavin-Kombathu-Original-Motion-Picture-Soundtrack-Malayalam-1994-20230109190006-500x500.jpg
2,Kaithapram Damodaran Namboothiri,Pranayavarnangal,K. J. Yesudas,Malayalam,https://aac.saavncdn.com/421/d5afb704b703d9e7dbb1954b9c118d19_320.mp4,https://c.saavncdn.com/421/Rain-Rain-Come-Again-Malayalam-2022-20220713235013-500x500.jpg
3,Aaro Nenjil,Koode,Raghu Dixit,Malayalam,https://aac.saavncdn.com/014/291b71ce3b6dc29a6a6b840a33d31621_320.mp4,https://c.saavncdn.com/014/Godha-Malayalam-2021-20210805002417-500x500.jpg
4,Kaattil Poomkaattil,Kochu Kochu Santhoshangal,Jayasurya,Malayalam,https://aac.saavncdn.com/396/2b0a7d5b4483d14892bb68beed13053d_320.mp4,https://c.saavncdn.com/396/Sachin-Malayalam-2019-20190312151932-500x500.jpg
5,Puthumazhayai,Charlie,Shreya Ghoshal,Malayalam,https://aac.saavncdn.com/276/4274c61305abc767ca1767e60b2f4455_320.mp4,https://c.saavncdn.com/276/Charlie-Malayalam-2015-500x500.jpg
1,“Break Stuff”,Significant Other,Limp Bizkit,English,https://aac.saavncdn.com/229/e4a784a3e7d68bc5ec327125c1f5f921_320.mp4,https://c.saavncdn.com/229/New-Old-Songs-Explicit-Version-2003-500x500.jpg
2,“Down With the Sickness”,The Sickness,Disturbed,English,https://aac.saavncdn.com/464/3b75a39191cd1b44b09e51960104c579_320.mp4,https://c.saavncdn.com/464/The-Sickness-English-2000-20200822053401-500x500.jpg
3,“Bodies”,Sinner,Drowning Pool,English,https://aac.saavncdn.com/960/0728f276a22b970ad06d40b5939036c1_320.mp4,https://c.saavncdn.com/960/Blood-Sugar-Secs-Traffic-English-2016-20190607043813-500x500.jpg
4,“Crawling”,Hybrid Theory,Linkin Park,English,https://aac.saavncdn.com/061/9d91320326981c6724c7071591a18da7_320.mp4,https://c.saavncdn.com/061/Hybrid-Theory-English-2013-500x500.jpg
5,“Blow Me Away”,Halo 2 Soundtrack,Breaking Benjamin,English,https://aac.saavncdn.com/500/c9380e79a88a1fed1ea1df04012164fa_320.mp4,https://c.saavncdn.com/500/Live-It-Out-WE7-exclusive-UK--English-2009-500x500.jpg
